C17:1
C18:1
C19:1
C20:1
C21:1
C22:1
C24:1
C25:1
C26:1
C27:1
D1:1
D2:1
D3:1
D4:1
R5:1
R7:1
REF**:10
SW1:1
U1:1
U4:1
U5:1
U6:1
U7:1
U8:1
